00 BRK         1 X
01 ORA|(_,X)   2 X
02 -           1 -
03 -           1 -
04 TSB|_       2 ZC
05 ORA|_       2 Z
06 ASL|_       2 Z
07 RMB0|_      2 ZC
08 PHP|        1 -
09 ORA|#_      2 I
0A ASLA|       1 -
0B -           1 -
0C TSB|_       3 AC
0D ORA|_       3 A
0E ASL|_       3 A
0F BBR0|_      3 ZB2C
10 BPL|_       2 BR
11 ORA|(_),Y   2 Y
12 ORA|(_)     2 ZC
13 -           1 -
14 TRB|_       2 ZC
15 ORA|_,X     2 XZ
16 ASL|_,X     2 XZC
17 RMB1|_      2 Z
18 CLC|        1 -
19 ORA|_,Y     3 AY
1A INC         1 C
1B -           1 -
1C TRB|_       3 AC
1D ORA|_,X     3 XA
1E ASL|_,X     3 XA
1F BBR1|_      3 ZB2C
20 JSR|_       3 JA
21 AND|(_,X)   2 X
22 -           1 -
23 -           1 -
24 BIT|_       2 Z
25 AND|_       2 Z
26 ROL|_       2 Z
27 RMB2|_      2 ZC
28 PLP         1 I
29 AND|#_      2 I
2A ROL|A       1 A
2B -           1 -
2C BIT|_       3 A
2D AND|_       3 AX
2E ROL|_       3 AX
2F BBR2|_      3 BZ2C
30 BMI|_       2 BR
31 AND|(_),Y   2 Y
32 AND|(_)     2 ZC
33 -           1 -
34 BIT|_       2 ZXC
35 AND|_,X     2 Z
36 ROL|_,X     2 Z
37 RMB3|_      2 ZC
38 SEC|        1 -
39 AND|_,Y     3 A
3A DEC         1 C
3B -           1 -
3C BIT|_       3 AXC
3D AND|_,X     3 AX
3E ROL|_,X     3 AX
3F BBR3|_      3 BZ2C
40 RTI|        1 -
41 EOR|(_,X)   2 X
42 -           1 -
43 -           1 -
44 -           1 -
45 EOR|_       2 Z
46 LSR|_       2 Z
47 RMB4|_      2 ZC
48 PHA|        1 -
49 EOR|#_      2 -
4A LSR|A       1 -
4B -           1 -
4C JMP|_       3 JA
4D EOR|_       3 A
4E LSR|_       3 A
4F BBR4|_      3 BZ2C
50 BVC|_       2 BR
51 EOR|(_),Y   2 Y
52 EOR|(_)     2 ZC
53 -           1 -
54 -           1 -
55 EOR|_,X     2 ZX
56 LSR|_,X     2 ZX
57 RMB5|_      2 ZC
58 CLI|        1 -
59 EOR|_,Y     3 YA
5A PHY         1 C
5B -           1 -
5C -           1 -
5D EOR|_,X     3 AX
5E LSR|_,X     3 AX
5F BBR5|_      3 BZ2C
60 RTS|        1 -
61 ADC|(_,X)   2 X
62 -           1 -
63 -           1 -
64 STZ         2 ZC
65 ADC|_       2 Z
66 ROR|_       2 Z
67 RMB6|_      2 ZC
68 PLA         1 -
69 ADC|#_      2 -
6A ROR|A       1 -
6B -           1 -
6C JMP|(_)     3 A
6D ADC|_       3 A
6E ROR|_       3 A
6F BBR6|_      3 BZ2C
70 BVS|_       2 BR
